rank,player,age,official_points,lost_earned_points,tourn_played,dropping,next_best
1342,Felipe Virgili,21,7,-,7,-,-
1343,Shu Muto,20,7,-,7,-,-
1344,Jerrid Gaines Jr,17,7,-,8,-,-
1345,Oswaldo Alejandro Reyes Tirado,19,7,-,8,-,-
1346T,Alessandro Battiston,19,7,-,8,-,-
1346T,Nemanja Malesevic,25,7,-,8,-,-
1348,Vishnu Vardhan,39,7,-,8,-,-
1349,Ymerali Ibraimi,17,7,-,8,-,-
1350,Leonardo Malgaroli,24,7,-1,9,-,-
1351,Bernardo Munk Mesa,20,7,-,9,-,-
1352,Yuttana Charoenphon,26,7,-,9,-,-
1353T,Zangar Nurlanuly,18,7,-,10,-,-
1353T,Sungbeen Sim,29,7,-2,10,-,-
1355T,Bora Sengul,24,7,-,10,-,-
1355T,Alexander Zgirovsky,25,7,-,10,-,-
1357,Pierre Antoine Tailleu,22,7,-1,11,-,-
1358T,Nikolas Stoot,18,7,-,11,-,-
1358T,Drew Van Orderlain,32,7,-,11,-,-
1360,Dillon Beckles,20,7,-,11,-,-
1361,Blu Baker,24,7,-15,11,-,-
1362,Alvaro Peiro Serrano,22,7,-,12,-,-
1363T,Mikail Alimli,23,7,-,12,-,-
1363T,Andrin Casanova,22,7,+3,12,-,-
1363T,Noah Karma,18,7,-,12,-,-
1363T,Joao Silva,19,7,-,12,-,-
1367,Alessio Basile,22,7,+1,12,-,-
1368,Nikola Jovic,19,7,-1,12,-,-
1369,Benoit Torcq,21,7,+4,13,-,-
1370T,Valentino Grippo,19,7,-,13,-,-
1370T,Gray Voelzke,24,7,-1,13,-,-
1372,Rafael Giotis,25,7,-,13,-,-
1373,Taketo Takamisawa,28,7,-,14,-,-
1374,Edouard Villoslada,26,7,-1,15,-,-
1375,Ty Host,19,7,-1,16,-,-
1376,Matteo Fondriest,21,7,-,16,-,-
1377,Kacper Knitter,19,7,-1,17,-,-
1378T,Aaron Gil Garcia,22,7,-1,17,-,-
1378T,Roman Kharlamov,19,7,-,17,-,-
1380,Tomohiro Masabayashi,28,7,-,18,-,-
1381T,Yannik Alvarez,17,6,-,2,-,-
1381T,Daniel Cukierman,31,6,-,2,-,-
1381T,Ramkumar Ramanathan,31,6,-,2,-,-
1381T,Kaito Uesugi,31,6,-,2,-,-
1385,Arthur Reymond,27,6,-1,2,-,-
1386,Moritz Kudernatsch,21,6,-,3,-,-
1387T,Sergio Luis Hernandez Ramirez,26,6,-,4,-,-
1387T,Alberto Lim,27,6,-,4,-,-
1389,Connor Thomson,25,6,-1,4,-,-
1390,Artem Alekseychuk,21,6,-,5,-,-
1391,Neo Niedner,23,6,-1,5,-,-
1392,Adam Majchrzak,20,6,+1,5,-,-
1393,Pablo Perez Navarro,18,6,+3,6,-,-
1394,Juan Carlos Aguilar,27,6,-,6,-,-
1395,Jasza Szajrych,24,6,-,6,-,-
1396,Muzammil Murtaza,26,6,-,7,-,-
1397,Mariano Tammaro,22,6,-,7,-,-
1398T,Shu Matsuoka,22,6,-4,7,-,-
1398T,Marko Milosavljevic,19,6,-,7,-,-
1398T,Lasse Poertner,20,6,-,7,-,-
1401,Naoki Tajima,25,6,-,7,-,-
1402T,Jesse De Jager,24,6,-,8,-,-
1402T,Frazier Rengifo,27,6,-,8,-,-
1404T,Achilles Belkovics,22,6,-,8,-,-
1404T,Daniel Jovanovski,18,6,-,8,-,-
1404T,Miha Vetrih,23,6,-,8,-,-
1407,Mihai Alexandru Coman,21,6,-,9,-,-
1408T,Alessandro Bellifemine,25,6,-,9,-,-
1408T,Dakotah Bobo,23,6,+2,9,-,-
1408T,Gus Grumet,18,6,-,9,-,-
1411T,Peter Alam,24,6,-,9,-,-
1411T,Sebastian Grundtvig Jorgensen,25,6,+1,9,-,-
1413,Lorenzo Berto,19,6,-,10,-,-
1414,Sergey Petrov,21,6,-,10,-,-
1415T,Ammar Elamin,24,6,-,10,-,-
1415T,Mak Mikovic,20,6,-,10,-,-
1417,Victor Braga,21,6,-,11,-,-
1418,Madhwin Kamath,24,6,-,11,-,-
1419,Giammarco Gandolfi,22,6,-,11,-,-
1420T,Ezekiel Clark,28,6,-,11,-,-
1420T,Juan Bautista Otegui,27,6,+1,11,-,-
1422,Sven Corbinais,23,6,+1,11,-,-
1423,Ivan Biletic,19,6,-,12,-,-
1424,Gian Marco Ortenzi,26,6,-,12,-,-
1425,Henry Lieberman,26,6,-,12,-,-
1426,Parth Aggarwal,28,6,-,13,-,-
1427T,Dmitry Bessonov,20,6,-,13,-,-
1427T,Lucca Pinto,23,6,-,13,-,-
1429T,Corban Crowther,23,6,-,14,-,-
1429T,Radovan Michalik,23,6,-2,14,-,-
1431,Arjun Mehrotra,29,6,-,14,-,-
1432,Vito Dell'Elba,27,6,-1,14,-,-
1433,Richard Antoni,21,6,-1,15,-,-
1434,Charles Chen,18,6,-,16,-,-
1435,Arthur Bellegy,25,6,+1,16,-,-
1436,Alexey Aleshchev,27,6,+1,17,-,-
1437,Matas Vasiliauskas,24,6,-3,21,-,-
1438,Henry Jefferson,20,5,-,3,-,-
1439T,Oliver Majdanzic,18,5,+2,3,-,-
1439T,Ryan James Storrie,28,5,-1,3,-,-
1441T,Alejandro Garcia Carbajal,24,5,-,4,-,-
1441T,Santiago Lora,18,5,-,4,-,-
1443,Eli Stephenson,21,5,-,4,-,-
1444,Massimo Pizzigoni,20,5,+2,4,-,-
1445,Haydar Cem Gokpinar,19,5,-,5,-,-
1446,Michael Savano,18,5,+2,5,-,-
1447T,Andrea Paolini,23,5,+2,5,-,-
1447T,Jakub Vrba,21,5,-,5,-,-
1449,Benjamin Chelía,18,5,-,5,-,-
1450T,Xirui Han,20,5,-,6,-,-
1450T,Niels Peter Van Noord,26,5,-,6,-,-
1452,Lucca Liu,22,5,-1,6,-,-
1453,Loan Lestir,20,5,-,6,-,-
1454T,Ignacio Antonio Becerra Otarola,25,5,-,6,-,-
1454T,Matisse Farzam,19,5,-,6,-,-
1454T,Damien Salvestre,24,5,-,6,-,-
1457,Matthieu Chambonniere,22,5,+1,6,-,-
1458T,Hayden Jones,19,5,-4,7,-,-
1458T,Matthew Segura,25,5,-,7,-,-
1460T,Toshiki Karigyo,24,5,-,7,-,-
1460T,Tomas Lanik,24,5,-,7,-,-
1460T,Zhao Zhao,26,5,-,7,-,-
1463,Kabir Hans,25,5,-1,8,-,-
1464T,Adrien Burdet,24,5,-,8,-,-
1464T,Hugo Maia,25,5,-,8,-,-
1464T,Andreas Timini,20,5,-,8,-,-
1467,Jake Dembo,18,5,-,8,-,-
1468T,Jonas Pelle Hartenstein,25,5,-,8,-,-
1468T,Nathan Ponwith,28,5,-3,8,-,-
1470,Minghui Zhang,21,5,-1,9,-,-
1471,Ye Chen,19,5,-,9,-,-
1472T,Bautista De La Pena,17,5,-,9,-,-
1472T,Juan Ignacio Gallego,19,5,-,9,-,-
1472T,Raghav Jaisinghani,28,5,-,9,-,-
1475,Toprak Avcibasi,22,5,-,10,-,-
1476,Pierre Antoine Faut,18,5,-,10,-,-
1477T,Breno Braga,21,5,-,10,-,-
1477T,Vadym Konovchuk,23,5,-,10,-,-
1477T,Nik Mikovic,21,5,-,10,-,-
1480T,Andrea M'Chich,20,5,-,10,-,-
1480T,Riku Takahata,24,5,-1,10,-,-
1480T,Antonio Voljavec,20,5,-,10,-,-
1483T,Filippo Francesco Garbero,17,5,-,11,-,-
1483T,Melvin Kumar,20,5,-1,11,-,-
1485,Ewen Lumsden,26,5,-,11,-,-
1486,Adrian Arcon,25,5,+1,12,-,-
1487T,Alessandro Coccioli,24,5,-,12,-,-
1487T,Volodymyr Gurenko,18,5,-,12,-,-
1487T,Ivan Iutkin,19,5,-,12,-,-
1490,Stefan Storch,24,5,-,12,-,-
1491,Sergio Planella Hernandez,19,5,-,14,-,-
1492,Liam Delicata,25,5,-,15,-,-
1493T,Hitesh Chauhan,18,5,-,16,-,-
1493T,Karim Mabrouk,19,5,-,16,-,-
1495,Noah Thurner,26,5,-1,17,-,-
1496,Ioannis Kountourakis,23,5,-,18,-,-
1497,Noah Perfetti,25,5,-,18,-,-
1498T,Semen Aginskiy,21,4,-,1,-,-
1498T,Sebastian Eriksson,21,4,-,1,-,-
1498T,Guy Orly Iradukunda,30,4,-,1,-,-
1498T,Jagger Leach,19,4,-,1,-,-
1498T,Theodore Winegar,25,4,-,1,-,-
1503,Guglielmo Verdese,20,4,-,2,-,-
1504T,Jeremy Beale,31,4,-,2,-,-
1504T,Jody Maginley,31,4,-,2,-,-
1504T,Togan Tokac,22,4,-,2,-,-
1507,Thijmen Loof,24,4,-,2,-,-
1508T,Filip Gustafsson,21,4,-1,3,-,-
1508T,Donghyun Hwang,18,4,+4,3,-,-
1508T,Sho Katayama,37,4,-,3,-,-
1508T,Angel Veliz,18,4,-,3,-,-
1512,Petar Jovanovic,23,4,-,3,-,-
1513T,John Bothma,18,4,-,3,-,-
1513T,Adil Kalyanpur,26,4,-,3,-,-
1513T,Logan Zapp,24,4,+1,3,-,-
1516T,Rahul Dhokia,26,4,-,4,-,-
1516T,Ludovico Vaccari,21,4,-,4,-,-
1518T,Raffaele Ciurnelli,18,4,-,4,-,-
1518T,Egor Gerasimov,33,4,-8,4,-,-
1520T,Manvydas Balciunas,20,4,-,4,-,-
1520T,Yeonsu Jeong,19,4,-,4,-,-
1520T,Vit Kalina,21,4,-,4,-,-
1520T,Heorhii Shylov,18,4,-,4,-,-
1524,Bengt Johan Reinhard,19,4,+2,4,-,-
1525,Hugo Coquelin,20,4,+1,5,-,-
1526T,Patricio Alvarado,36,4,-,5,-,-
1526T,Lucas Bouquet,29,4,-,5,-,-
1526T,Teodor Davidov,15,4,-,5,-,-
1526T,Mauricio Echazu,37,4,-,5,-,-
1526T,Matic Kriznik,20,4,-,5,-,-
1526T,Junhyeon Lee,24,4,-,5,-,-
1526T,Arnav Vijay Paparkar,18,4,+2,5,-,-
1526T,Davide Pontoglio,34,4,-,5,-,-
1526T,Kai-I Wang,22,4,-,5,-,-
1535,Stepan Baum,23,4,-,6,-,-
1536,Martyn Pawelski,21,4,-,6,-,-
1537T,Tristan Berard,22,4,-,6,-,-
1537T,Ruben Hartig,23,4,-,6,-,-
1537T,Rodolfo Jauregui Sainz de Rozas,32,4,-,6,-,-
1537T,Alex Jones,27,4,-,6,-,-
1537T,Karlo Kajin,26,4,-,6,-,-
1542T,Mateo Luis Alvarez Sarmiento,21,4,-,6,-,-
1542T,Bill Chan,20,4,-2,6,-,-
1542T,Zane Stevens,20,4,-1,6,-,-
1545,Rhys Lawlor,17,4,-,7,-,-
1546T,Ryan Augusto Dos Santos,23,4,-1,7,-,-
1546T,Joe Leather,25,4,-,7,-,-
1548,Francisco Tomas Geschwind,23,4,-,7,-,-
1549,Nicola Rispoli,29,4,-,8,-,-
1550T,Oskari Eerola,24,4,-,8,-,-
1550T,Albert Pedrico Kravtsov,21,4,-11,8,-,-
1552T,Yua Taka,23,4,-,8,-,-
1552T,Elias Julian Werner,23,4,-,8,-,-
1554,Emon Van Loben Sels,21,4,-25,9,-,-
1555T,Savva Rybkin,17,4,-,9,-,-
1555T,Tyler Stice,26,4,-,9,-,-
1555T,Laurence Teunissen,17,4,-3,9,-,-
1558T,Valentin Garay,19,4,-,9,-,-
1558T,Sean Hodkin,27,4,-,9,-,-
1558T,Weiwen Pan,20,4,-2,9,-,-
1558T,Nicolas Esteban Rico Arias,25,4,-,9,-,-
1562,Aryan Lakshmanan,21,4,-,10,-,-
1563T,Emirhan Bulut,20,4,-,10,-,-
1563T,Yuquan Jin,25,4,-2,10,-,-
1565,Daisuke Sumizawa,27,4,-4,10,-,-
1566T,Silvio Mencaglia,21,4,-,11,-,-
1566T,Kosuke Shibano,30,4,-,11,-,-
1568T,Tadeo Meneo,21,4,-,12,-,-
1568T,Aldin Setkic,38,4,-,12,-,-
1570,Xavi Palomar,18,4,-,13,-,-
1571T,Carlos Giraldi,21,4,-,13,-,-
1571T,Benjamin Gusic - Wan,18,4,-,13,-,-
1573,Joao Graca,25,4,-,13,-,-
1574T,Luis Garcia Paez,20,4,-,16,-,-
1574T,Gilberto Ravasio,21,4,-1,16,-,-
1576T,Bienvenue Bolangi,24,3,-,1,-,-
1576T,Tyler Bowers,23,3,+3,1,-,-
1576T,Luis Britto,33,3,-,1,-,-
1576T,Loren Thomas Byers,24,3,-,1,-,-
1576T,Connor Church,19,3,-,1,-,-
1576T,Connor Doig,18,3,-,1,-,-
1576T,Samir Iftikhar,34,3,-,1,-,-
1576T,Aradhya Kshitij,17,3,-,1,-,-
1576T,Courtney John Lock,29,3,-,1,-,-
1576T,William Mroz,23,3,-,1,-,-
1576T,Mark Whitehouse,33,3,-,1,-,-
1587T,Georgi Georgiev,19,3,-,2,-,-
1587T,Oscar Andres Martinez De Freitas,20,3,-,2,-,-
1587T,Alexander Ikenna Okonkwo,21,3,+3,2,-,-
1587T,Guillermo Tunas,25,3,-,2,-,-
1591T,Didrik Liljekvist,24,3,+2,2,-,-
1591T,Alejo Lorenzo Lingua Lavallen,25,3,-,2,-,-
1591T,Miguel Angel Machado,20,3,-,2,-,-
1591T,Wojciech Marek,25,3,+2,2,-,-
1591T,Mario Martinez Serrano,22,3,-5,2,-,-
1596T,Yousaf Khalil,27,3,-,3,-,-
1596T,Thai-Son Kwiatkowski,31,3,-,3,-,-
1598T,Valentino Conte,21,3,-,3,-,-
1598T,Ivan Denisov,26,3,-,3,-,-
1598T,Romain Gales,22,3,-,3,-,-
1598T,Patrik Meszaros,20,3,-,3,-,-
1598T,Alexander Petrov,24,3,-,3,-,-
1598T,Daniel Phillips,21,3,-,3,-,-
1598T,Oliver Sanders,18,3,-,3,-,-
1598T,Benjamin Torres,22,3,-,3,-,-
1598T,Iker Urribarrens Ramirez,22,3,-,3,-,-
1607T,Alex Huszar,18,3,-,3,-,-
1607T,Pawel Juszczak,32,3,-2,3,-,-
1607T,Aleksandar Mihailovic,24,3,-,3,-,-
1610,Robert Watzka,20,3,-,4,-,-
1611T,Fantino Alberca De Las Casas,21,3,-,4,-,-
1611T,David Bakonyi,20,3,+1,4,-,-
1611T,Dan Brand,17,3,+1,4,-,-
1611T,Julien De Cuyper,27,3,-,4,-,-
1611T,Hao Sheng Koay,28,3,-,4,-,-
1611T,Yannic Nittmann,19,3,-,4,-,-
1611T,Henrique Ortenblad Nogueira,23,3,-,4,-,-
1611T,Rudy Quan,20,3,-3,4,-,-
1611T,Harrison Satara,19,3,-,4,-,-
1611T,Isac Stroemberg,23,3,-1,4,-,-
1611T,James Weber,19,3,-,4,-,-
1622T,Marco Furlanetto,25,3,-,4,-,-
1622T,Dimitar Kisimov,18,3,-,4,-,-
1622T,Cem Christopher Kucukhuseyin,19,3,-,4,-,-
1622T,Karl Kazuma Lee,23,3,-,4,-,-
1622T,Petr Michnev,37,3,-,4,-,-
1622T,Jan Sadzik,18,3,+1,4,-,-
1628T,Suk Ann,24,3,+2,5,-,-
1628T,Lorenzo Balducci,18,3,-,5,-,-
1628T,Alexander Bernard,23,3,-1,5,-,-
1628T,Kuzey Cekirge,26,3,-,5,-,-
1628T,Nicholas Godsick,21,3,-4,5,-,-
1628T,Seonyong Han,25,3,+2,5,-,-
1628T,Marcel Latak,17,3,-,5,-,-
1628T,Peetu Pohjola,25,3,-,5,-,-
1628T,Aleksandre Shvangiradze,20,3,-,5,-,-
1628T,Facundo Yunis,24,3,-,5,-,-
1638T,Nathan Cox,22,3,-,5,-,-
1638T,Daniel Khazime,21,3,-,5,-,-
1638T,Rihards Neimanis,18,3,-,5,-,-
1638T,Ilija Palavestra,19,3,-,5,-,-
1638T,Michalis Sakellaridis,25,3,-,5,-,-
1638T,Antonin Witz,18,3,-,5,-,-
1644,Gustavo Albieri,18,3,-1,6,-,-
1645T,Gregor Hausberger,23,3,+2,6,-,-
1645T,Gabor Hornung,21,3,-,6,-,-
1645T,Vid Mohar,20,3,-,6,-,-
1645T,Jirat Navasirisomboon,29,3,-,6,-,-
1649T,Noah Brownrigg,19,3,-,6,-,-
1649T,Piotr Galus,25,3,-,6,-,-
1649T,Ludvig Fredrik Hede,19,3,-,6,-,-
1649T,Simone Massellani,18,3,-,6,-,-
1649T,Roman Postolka,27,3,-,6,-,-
1649T,Alessandro Spadola,23,3,+1,6,-,-
1655,Deney Wassermann,25,3,-,7,-,-
1656T,Dax Donders,26,3,-,7,-,-
1656T,Allan Gatoto,19,3,-,7,-,-
1656T,Odysseas Geladaris,18,3,+3,7,-,-
1656T,Nicolas Hollender,24,3,-,7,-,-
1656T,Weiyi Kong,18,3,-,7,-,-
1656T,Santiago Pesino,19,3,+1,7,-,-
1656T,Amador Salazar,25,3,-1,7,-,-
1663T,Mahmoud Chetouane,18,3,-,7,-,-
1663T,Pedro Andre De Almeida Santos,22,3,-,7,-,-
1663T,Valentin Guadagno,20,3,-,7,-,-
1663T,Shanker Heisnam,19,3,-,7,-,-
1663T,Rodrigo Leal,18,3,-,7,-,-
1663T,Jules Leroux,21,3,-,7,-,-
1663T,Gheorghe Claudiu Schinteie,24,3,-,7,-,-
1663T,Dmytro Shirokyi,20,3,-,7,-,-
1663T,Justas Trainauskas,24,3,-,7,-,-
1672T,Hugo Hashimoto,23,3,-,8,-,-
1672T,Shaoyun Liu,24,3,-,8,-,-
1674T,Chun-Chien Hou,20,3,-1,8,-,-
1674T,Evangelos Kypriotis,23,3,-,8,-,-
1674T,Ren Nakamura,31,3,-,8,-,-
1674T,Matei Todoran,18,3,-,8,-,-
1678T,Arian Barbic,17,3,+2,9,-,-
1678T,Manuel Mouilleron Salvo,23,3,-,9,-,-
1678T,Samuele Seghetti,20,3,-2,9,-,-
1681T,Mario Arce Fernandez,20,3,-,9,-,-
1681T,Pijus Vaitiekunas,23,3,-2,9,-,-
1681T,Edoardo Zanada,25,3,-,9,-,-
1684T,Daniel Domingos,19,3,-,10,-,-
1684T,Valentin Gonzalez-Galino,17,3,-,10,-,-
1684T,Dorian Tremblay,24,3,-,10,-,-
1687T,Pablo Aunion,19,3,-,10,-,-
1687T,Daniel Bagnolini,23,3,-3,10,-,-
1687T,Alan Bojarski,23,3,-1,10,-,-
1687T,Leonardo Cattaneo,20,3,-1,10,-,-
1687T,Alejandro Lopez Escribano,20,3,-,10,-,-
1687T,Karol Malirz,23,3,-,10,-,-
1687T,Caheer Warik,20,3,+1,10,-,-
1694,Andrei Kunitsyn,21,3,-,12,-,-
1695T,Carl Holder,20,3,-,12,-,-
1695T,Alp Horoz,31,3,-1,12,-,-
1695T,Tomas Jordi Leston,22,3,-,12,-,-
1695T,David Naharro,22,3,-,12,-,-
1695T,Cagan Efe Tufekci,22,3,-,12,-,-
1695T,Louis Van Herck,27,3,-,12,-,-
1701T,Jack Bruce-Smith,24,3,-3,13,-,-
1701T,Adam Farag Cao,18,3,-,13,-,-
1701T,Jeffrey Fradkin,24,3,-,13,-,-
1701T,Fumin Jiang,18,3,-,13,-,-
1701T,Drazen Petrovic,23,3,-1,13,-,-
1701T,Esteban Talavera Cortes,21,3,-,13,-,-
1707,Tymur Bieldiugin,20,3,-1,14,-,-
1708T,Lawrence Bataljin,30,3,-,15,-,-
1708T,Federico Valle,26,3,-,15,-,-
1708T,Xiaoyin Yang,21,3,-3,15,-,-
1711T,Yuichiro Inui,31,3,-2,17,-,-
1711T,Daniel Verbeek,22,3,-1,17,-,-
1713T,Imran Daniel Abd Hazli,21,2,-,1,-,-
1713T,Justin Barki,26,2,-1,1,-,-
1713T,Nour Fathalla,20,2,-,1,-,-
1713T,Evan King,34,2,+2,1,-,-
1713T,Nathaniel Lammons,33,2,-,1,-,-
1713T,Hanlei Lu,17,2,+2,1,-,-
1713T,Mario Mansilla Diez,24,2,-,1,-,-
1713T,Pablo Manzano Lapuerta,24,2,-,1,-,-
1713T,Diego Munoz,20,2,-,1,-,-
1713T,Tanapatt Nirundorn,22,2,-,1,-,-
1713T,Ignacio Novo,26,2,-,1,-,-
1713T,Bruno Pujol Navarro,24,2,-,1,-,-
1713T,Aniss Rafiq,22,2,-,1,-,-
1713T,Pietro Ricci,18,2,-,1,-,-
1713T,Cristian Rodriguez,36,2,-,1,-,-
1713T,Sebastian Sec,22,2,+2,1,-,-
1713T,Jakub Solarski,21,2,+2,1,-,-
1713T,Oliver Andre Solis Encinas,17,2,-,1,-,-
1713T,Alessio Vasquez,23,2,-1,1,-,-
1713T,Seita Watanabe,25,2,-,1,-,-
1713T,Marcelo Zormann,30,2,-,1,-,-
1713T,Tomas Zurmendi,17,2,-,1,-,-
1735T,Leonardo Aboian,28,2,-2,2,-,-
1735T,Emiliano Aguilera,23,2,-,2,-,-
1735T,Simon Beaupain,27,2,-4,2,-,-
1735T,Ignacio Carou,27,2,-,2,-,-
1735T,Eudald Gonzalez,18,2,-,2,-,-
1735T,Cleeve Harper,25,2,-5,2,-,-
1735T,Jack Loutit,22,2,-1,2,-,-
1735T,Roman Sancilio,19,2,-,2,-,-
1735T,Tanakorn Srirat,24,2,-,2,-,-
1735T,Nathan Trouve,20,2,-,2,-,-
1735T,Andres Urrea,31,2,-,2,-,-
1735T,Kuang Qing Xu,20,2,-,2,-,-
1735T,Boxiong Zhang,19,2,-,2,-,-
1748T,Simone Agostini,29,2,-,2,-,-
1748T,Mehdi Benchakroun,22,2,-,2,-,-
1748T,Bastian Berenz,18,2,-,2,-,-
1748T,Jan Chlodnicki,17,2,+1,2,-,-
1748T,Corey Craig,22,2,-,2,-,-
1748T,Rafalentino Ali Da Costa,16,2,-,2,-,-
1748T,Ignacio De Armas,17,2,-,2,-,-
1748T,Christoph Gayk,20,2,-,2,-,-
1748T,Oliver Johansson,25,2,-,2,-,-
1748T,Botond Kisantal,20,2,-,2,-,-
1748T,Illya Marchenko,38,2,-,2,-,-
1748T,Roberto Perez Socas,18,2,-,2,-,-
1748T,Gregor Ramskogler,27,2,-3,2,-,-
1748T,Agustín Salazar Salazar,22,2,-,2,-,-
1748T,Karue Sell,32,2,-6,2,-,-
1748T,Yaraslav Shyla,33,2,-,2,-,-
1748T,Jan Simonsson,23,2,+1,2,-,-
1748T,Aleksandar Tolev,17,2,+1,2,-,-
1748T,Benjamin Vitter,23,2,-,2,-,-
1767T,Kaan Isik Kosaner,17,2,-,3,-,-
1767T,Benjamin Perez,17,2,-,3,-,-
1767T,Darius Florin Pop,22,2,-,3,-,-
1767T,Ainius Sabaliauskas,23,2,-1,3,-,-
1767T,Cristian Felipe Sanchez Rojas,19,2,-,3,-,-
1767T,Kaua Lorenzo Santos Gava,22,2,-,3,-,-
1767T,Konstantin Zhzhenov,22,2,-,3,-,-
1774T,Marko Bekeni,18,2,-,3,-,-
1774T,Sergey Betov,38,2,-,3,-,-
1774T,Gianluca Carlini,21,2,-,3,-,-
1774T,Antonio Caruso,27,2,-,3,-,-
1774T,Edward Etty,24,2,-,3,-,-
1774T,Adam Kaczmarek,22,2,-,3,-,-
1774T,Min Ho Ko,19,2,-,3,-,-
1774T,Yazid Lahjomri,21,2,-,3,-,-
1774T,Jordan Lee,16,2,-,3,-,-
1774T,Noah Martens,24,2,-,3,-,-
1774T,Matisse Martin,17,2,-,3,-,-
1774T,Gasper Matijasic,19,2,-,3,-,-
1774T,Alejandro Melero Kretzer,21,2,-1,3,-,-
1774T,Milos Mikovic,21,2,-,3,-,-
1774T,Alejandro Moreno,23,2,-,3,-,-
1774T,Charlie Pade,21,2,-,3,-,-
1774T,Minjong Park,24,2,-,3,-,-
1774T,Mikal Statham,39,2,-,3,-,-
1774T,Maximilian Todorov,27,2,-,3,-,-
1793T,Ryusuke Horiuchi,27,2,-,4,-,-
1793T,Jakub Jedrzejczak,20,2,-,4,-,-
1793T,Mika Lipp,22,2,-1,4,-,-
1793T,Novak Novakovic,25,2,-,4,-,-
1793T,S Mert Ozdemir,26,2,-,4,-,-
1793T,Victor Ryden,18,2,+2,4,-,-
1799T,Vesa Ahti,27,2,+1,4,-,-
1799T,Maximilian Borisov,24,2,-,4,-,-
1799T,Gabriele Brancatelli,23,2,+1,4,-,-
1799T,David Cristian Carteputreda,19,2,-,4,-,-
1799T,Woong Bi Lee,21,2,-,4,-,-
1799T,Jordi Mas De Ugarte,31,2,-,4,-,-
1799T,Cing-Yang Meng,28,2,-,4,-,-
1799T,Ali Missoum,17,2,-,4,-,-
1799T,Eyad Reda Ezzat Mohamed Sherif,18,2,-,4,-,-
1799T,Diogo Morais,22,2,-,4,-,-
1799T,Luis Jose Nakamine,20,2,-,4,-,-
1799T,Diego Ortiz Gamonsl,22,2,-,4,-,-
1799T,Hugo Ouzilou,23,2,-,4,-,-
1799T,Seungmin Park,20,2,-,4,-,-
1799T,Derek Pham,22,2,-8,4,-,-
1799T,Lautaro Rocha,19,2,-,4,-,-
1799T,Oliwier Sterniczuk,18,2,-,4,-,-
1799T,Maxime St-Hilaire,23,2,-,4,-,-
1799T,David Tixhon,25,2,-,4,-,-
1799T,Cooper Woestendick,19,2,+1,4,-,-
1799T,Bang Shuo Yin,27,2,-,4,-,-
1820T,Hyu Kawanishi,17,2,-,5,-,-
1820T,Alex Kobelt,29,2,-,5,-,-
1820T,Javier Molino,25,2,-,5,-,-
1820T,Taiki Takizawa,16,2,-,5,-,-
1824T,Marco Alvarez,25,2,-,5,-,-
1824T,Alejandro Arcila,19,2,+1,5,-,-
1824T,Congsup Congcar,30,2,-2,5,-,-
1824T,Louis Dussin,27,2,-,5,-,-
1824T,Hernando Jose Escurra Isnardi,28,2,-1,5,-,-
1824T,Matt Kleiman,25,2,-1,5,-,-
1824T,Daniel Lara Salmeron,25,2,-,5,-,-
1824T,Michal Novansky,24,2,+1,5,-,-
1824T,Kunanan Pantaratorn,18,2,-,5,-,-
1824T,Niels Ratiu,21,2,-4,5,-,-
1824T,Martins Rocens,26,2,-,5,-,-
1824T,Felix Roussel,18,2,-,5,-,-
1824T,Hiroki Sakagawa,25,2,-,5,-,-
1824T,Glib Sekachov,19,2,-4,5,-,-
1824T,Kai Thompson,18,2,-,5,-,-
1824T,Gunawan Trismuwantara,23,2,-1,5,-,-
1824T,Valentin Vanta,28,2,-,5,-,-
1824T,Lingxi Zhao,26,2,-,5,-,-
1842T,Sebastian Dominguez,24,2,-,6,-,-
1842T,Mikel Martinez,25,2,-,6,-,-
1842T,Brandon Perez,26,2,-2,6,-,-
1842T,Marko Retelj,18,2,-,6,-,-
1842T,Saki Tange,22,2,-,6,-,-
1847T,Leonardo Angeloni,21,2,-,6,-,-
1847T,Pepijn Bastiaansen,21,2,-1,6,-,-
1847T,Henry Best,19,2,-,6,-,-
1847T,Kylian Collignon,21,2,-1,6,-,-
1847T,Nav Dayal,19,2,-,6,-,-
1847T,Dmitry Dolzhenkov,22,2,-,6,-,-
1847T,Alexis Gurmendi,28,2,-2,6,-,-
1847T,Benjamin Hannestad,29,2,-,6,-,-
1847T,Matic Hribar,19,2,-,6,-,-
1847T,Haoyuan Huang,23,2,-,6,-,-
1847T,Mattia Nannelli,21,2,-,6,-,-
1847T,Stijn Pel,24,2,-,6,-,-
1847T,Timofey Stepanov,23,2,-,6,-,-
1847T,Gabriele Volpi,30,2,-1,6,-,-
1847T,Gabriele Vulpitta,21,2,-3,6,-,-
1847T,Zhan Zheng,23,2,-,6,-,-
1847T,Ilias Zimmermann,25,2,-,6,-,-
1864T,Daniel Aleksandar Amarandei,18,2,-,7,-,-
1864T,Antoine Berger,28,2,-1,7,-,-
1864T,Maxi Carrascosa Diaz,18,2,-,7,-,-
1864T,Tobia Grandinetti,22,2,-,7,-,-
1864T,Oskar Grzegorzewski,21,2,-,7,-,-
1864T,Alexander Gschiel,19,2,-,7,-,-
1864T,Patrik Homola,22,2,-,7,-,-
1864T,Marko Nikolic,21,2,-,7,-,-
1864T,Ramazan Kaan Oktay,18,2,-,7,-,-
