tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-421,Canada Masters,Hard,96,1000,O,20260802,1,MU94,,,Jaume Munar,R,183,ESP,29.243,43,1050,H0BH,,,Rinky Hijikata,R,178,AUS,25.437,93,677,7-6(3) 6-3,3,R128,221,4,2,73,48,33,12,11,6,9,2,2,57,34,22,9,10,1,5
2026-421,Canada Masters,Hard,96,1000,O,20260802,2,S0RE,,PR,Juncheng Shang,L,180,CHN,21.495,270,205,V0DP,,,Adolfo Daniel Vallejo,R,183,PAR,22.261,65,918,6-3 6-3,3,R128,81,1,2,42,27,22,11,9,0,1,4,5,73,35,23,16,9,3,7
2026-421,Canada Masters,Hard,96,1000,O,20260802,1,MU94,,,Jaume Munar,R,183,ESP,29.243,43,1050,H0BH,,,Rinky Hijikata,R,178,AUS,25.437,93,677,7-6(3) 6-3,3,R128,221,4,2,73,48,33,12,11,6,9,2,2,57,34,22,9,10,1,5
2026-421,Canada Masters,Hard,96,1000,O,20260802,2,S0RE,,PR,Juncheng Shang,L,180,CHN,21.495,270,205,V0DP,,,Adolfo Daniel Vallejo,R,183,PAR,22.261,65,918,6-3 6-3,3,R128,81,1,2,42,27,22,11,9,0,1,4,5,73,35,23,16,9,3,7
